"id","customer_id","average_daily_data_usage","average_daily_voice_usage","age_group","location"
"340",4697993,53,98,"12-18","Dallas"
"341",8554291,55,1,"12-18","Dallas"
"342",5441736,133,109,"12-18","Dallas"
"343",3896557,71,3,"12-18","Dallas"
"344",9585966,76,1,"12-18","Dallas"
"345",2082274,121,66,"12-18","Dallas"
"346",6688901,80,32,"12-18","Dallas"
"347",6314390,91,94,"12-18","Dallas"
"348",5446994,103,18,"12-18","Dallas"
"349",8464117,94,16,"12-18","Dallas"
"350",5614631,94,1,"12-18","Dallas"
"351",5402066,175,1,"12-18","Dallas"
"352",5381229,135,19,"12-18","Dallas"
"353",9552585,38,19,"12-18","Dallas"
"354",6538308,1,101,"12-18","Dallas"
"355",4418409,3,17,"12-18","Dallas"
"356",6764193,60,21,"12-18","Dallas"
"357",3532509,107,166,"12-18","Dallas"
"358",6514501,50,1,"12-18","Dallas"
"359",5999171,131,1,"12-18","Dallas"
"360",4141507,52,1,"12-18","Dallas"
"361",5158154,84,80,"12-18","Dallas"
"362",9209958,23,1,"12-18","Dallas"
"363",1230260,144,1,"12-18","Dallas"
"364",4444050,129,6,"12-18","Dallas"
"365",8433003,109,1,"12-18","Dallas"
"366",8415102,1,54,"12-18","Austin"
"367",8505265,1,110,"12-18","Austin"
"368",2056350,28,97,"12-18","Austin"
"369",5311917,61,114,"12-18","Austin"
"370",1364193,119,114,"12-18","Austin"
"371",2691673,77,201,"12-18","Austin"
"372",2468392,26,86,"12-18","Austin"
"373",6152497,9,71,"12-18","Austin"
"374",9297584,59,71,"12-18","Austin"
"375",8368506,88,20,"12-18","Austin"
"376",5173016,23,1,"12-18","Austin"
"377",4444523,1,6,"12-18","Austin"
"378",2259759,37,86,"12-18","Austin"
"379",2843931,16,65,"12-18","Austin"
"380",4563927,92,44,"12-18","Austin"
"381",8876838,61,93,"12-18","Austin"
"382",3694657,1,133,"12-18","Austin"
"383",3947225,1,59,"12-18","Austin"
"384",4774068,56,124,"12-18","Austin"
"385",2063739,7,36,"12-18","Austin"
"386",9931392,1,28,"12-18","Austin"
"387",5036840,1,1,"12-18","Austin"
"388",2705543,19,37,"12-18","Austin"
"389",3459991,1,119,"12-18","Austin"
"390",8563160,2,49,"12-18","Austin"
"391",6150783,27,55,"12-18","Austin"
"392",2173153,16,97,"12-18","Austin"
"393",3526927,70,130,"12-18","Austin"
"394",5846852,3,68,"12-18","Austin"
"395",7032741,3,53,"12-18","Austin"
"396",1516539,1,50,"12-18","Austin"
"397",8395296,1,1,"12-18","Austin"
"398",6928820,1,43,"12-18","Austin"
"399",9247579,70,1,"12-18","Austin"
"400",3589386,5,90,"12-18","Austin"
"401",4757515,4,90,"12-18","Austin"
"402",8659953,70,119,"12-18","Austin"
"403",8920006,9,74,"12-18","Austin"
"404",6173724,66,62,"12-18","Austin"
"405",2586495,35,21,"12-18","Austin"
"406",3678395,38,81,"12-18","Austin"
"407",3816162,23,30,"12-18","Austin"
"408",9238279,29,15,"12-18","Austin"
"409",3658508,46,39,"12-18","Austin"
"410",8705095,1,61,"12-18","Austin"
"411",8395846,9,1,"12-18","Austin"
"412",5808495,1,124,"12-18","Austin"
"413",3240937,125,142,"12-18","Austin"
"414",5176149,1,4,"12-18","Austin"
"415",1648268,63,179,"12-18","Austin"
"416",9346652,1,38,"12-18","Austin"
"417",5491979,1,23,"12-18","Austin"
"418",1335622,1,82,"12-18","Austin"
"419",8090735,1,45,"12-18","Austin"
"420",2048460,72,1,"12-18","Austin"
"421",2536302,28,1,"12-18","Austin"
"422",1807071,90,60,"12-18","Austin"
"423",5899310,61,96,"12-18","Austin"
"424",8908903,1,136,"12-18","Austin"
"425",6271650,82,67,"12-18","Austin"
"426",4744926,80,114,"12-18","Austin"
"427",2066588,71,157,"12-18","Austin"
"428",2465992,78,14,"12-18","Austin"
"429",2974305,35,29,"12-18","Austin"
"430",5905892,1,94,"12-18","Austin"
"431",4845665,1,3,"12-18","Austin"
"432",6050361,14,20,"12-18","Austin"
"433",2442448,1,1,"12-18","Austin"
"434",7819830,116,69,"12-18","Austin"
"435",2143102,73,78,"12-18","Austin"
"436",6398392,89,5,"12-18","Austin"
"437",5697924,126,143,"12-18","Austin"
"438",7471220,1,75,"12-18","Austin"
"439",1894266,1,113,"12-18","Austin"
"440",4745493,29,78,"12-18","Austin"
"441",7008218,1,117,"12-18","Austin"
"442",7165739,79,40,"12-18","Austin"
"443",7463094,1,32,"12-18","Austin"
"444",6430375,25,136,"12-18","Austin"
"445",6035499,64,51,"12-18","Austin"
"446",6989136,1,31,"12-18","Austin"
"447",2380949,1,154,"12-18","Austin"
"448",7153783,154,41,"12-18","Austin"
"449",1959281,12,79,"12-18","Austin"
"450",3647008,58,3,"12-18","Austin"
"451",2427263,1,22,"12-18","Austin"
"452",9602663,95,114,"12-18","Austin"
"453",8336761,1,49,"12-18","Austin"
"454",6883831,71,170,"12-18","Austin"
"455",7057035,31,41,"12-18","Austin"
"456",2448940,62,38,"12-18","Austin"
"457",2957966,1,126,"12-18","Austin"
"458",6489661,1,1,"12-18","Austin"
"459",9149902,1,20,"12-18","Austin"
"460",6370342,1,53,"12-18","Austin"
"461",2713562,1,7,"12-18","Austin"
"462",4221938,1,17,"12-18","Austin"
"463",5807006,1,156,"12-18","Austin"
"464",7418699,1,31,"12-18","Austin"
"465",2367916,1,129,"12-18","Austin"
"466",8717483,1,67,"12-18","Austin"
"467",7055952,64,55,"12-18","Austin"
"468",6492529,1,1,"12-18","Austin"
"469",7715556,9,22,"12-18","Austin"
"470",4896203,1,116,"12-18","Austin"
"471",3176699,49,42,"12-18","Austin"
"472",3477477,15,1,"12-18","Austin"
"473",9581508,7,1,"12-18","Austin"
"474",8973024,1,83,"12-18","Austin"
"475",9458988,197,63,"12-18","Austin"
"476",2214875,73,162,"12-18","Austin"
"477",8571139,14,189,"12-18","Austin"
"478",7518702,1,83,"12-18","Austin"
"479",7405209,56,1,"12-18","Austin"
"480",2214744,81,1,"12-18","Austin"
"481",1043284,54,5,"12-18","Austin"
"482",2202528,107,77,"12-18","Austin"
"483",1382082,34,7,"12-18","Austin"
"484",6869715,23,1,"12-18","Austin"
"485",1064957,1,68,"12-18","Austin"
"486",7127349,89,3,"12-18","Austin"
"487",8757832,144,88,"12-18","Austin"
"488",1850528,89,39,"12-18","Austin"
"489",9830038,0,116,"12-18","Austin"
"490",1701728,1,15,"12-18","Austin"
"491",1362399,1,20,"12-18","Austin"
"492",1099277,15,89,"12-18","Austin"
"493",6332351,67,115,"12-18","Austin"
"494",6079678,91,14,"12-18","Austin"
"495",4460898,1,129,"12-18","Austin"
"496",8466513,92,1,"12-18","Austin"
"497",7173682,1,6,"12-18","Austin"
"498",9705005,1,1,"12-18","Austin"
"499",9927033,1,123,"12-18","Austin"
"500",8625170,1,7,"12-18","Austin"
"501",2817754,15,64,"12-18","Austin"
"502",3630476,1,1,"12-18","Austin"
"503",3426742,33,4,"12-18","Austin"
"504",9948330,13,1,"12-18","Austin"
"505",3324890,23,51,"12-18","Austin"
"506",3469870,1,1,"12-18","Austin"
"507",6722057,1,23,"12-18","Austin"
"508",6787301,5,80,"12-18","Austin"
"509",2193523,1,19,"12-18","Austin"
"510",6471355,1,136,"12-18","Austin"
"511",6131112,1,39,"12-18","Austin"
"512",7926837,31,82,"12-18","Austin"
"513",9947531,1,38,"12-18","Austin"
"514",5017410,43,105,"12-18","Austin"
"515",7078178,1,84,"12-18","Austin"
"516",3149009,1,1,"12-18","Austin"
"517",4785923,1,1,"12-18","Austin"
"518",4405232,24,1,"12-18","Austin"
"519",8757114,21,162,"12-18","Austin"
"520",2301504,1,91,"12-18","Austin"
"521",7679472,1,58,"12-18","Austin"
"522",5247178,81,26,"12-18","Austin"
"523",1125535,44,114,"12-18","Austin"
"524",6250705,8,72,"12-18","Austin"
"525",6035224,21,39,"12-18","Austin"
"526",6070663,1,1,"12-18","Austin"
"527",9171901,1,45,"12-18","Austin"
"528",4808510,1,21,"12-18","Austin"
"529",8699481,1,150,"12-18","Austin"
"530",8601649,2,37,"12-18","Austin"
"531",9472022,109,40,"12-18","Austin"
"532",8127403,76,1,"12-18","Austin"
"533",9072974,1,184,"12-18","Austin"
"534",7259762,1,107,"12-18","Austin"
"535",7334043,32,92,"12-18","Austin"
"536",9068858,93,65,"12-18","Austin"
"537",5296194,9,85,"12-18","Austin"
"538",6564563,80,146,"12-18","Austin"
"539",9371611,43,31,"12-18","Austin"
"540",8534934,46,1,"12-18","Austin"
"541",5649682,30,41,"12-18","Austin"
"542",7448496,34,96,"12-18","Austin"
"543",5464935,1,28,"12-18","Austin"
"544",5768611,1,62,"12-18","Austin"
"545",9172037,1,64,"12-18","Austin"
"546",1541180,86,1,"12-18","Austin"
"547",8732488,63,95,"12-18","Austin"
"548",5803295,1,93,"12-18","Austin"
"549",3764254,1,17,"12-18","Austin"
"550",3204654,44,1,"12-18","Austin"
"551",7325070,41,34,"12-18","Austin"
"552",8387584,1,1,"12-18","Austin"
"553",1824103,6,1,"12-18","Detroit"
"554",7816113,1,98,"12-18","Detroit"
"555",1309421,1,83,"12-18","Detroit"
"556",8817320,6,84,"12-18","Detroit"
"557",6081494,10,68,"12-18","Detroit"
"558",9521021,1,59,"12-18","Detroit"
"559",7321847,11,11,"12-18","Detroit"
"560",6944708,9,20,"12-18","Detroit"
"561",6545806,8,75,"12-18","Detroit"
"562",8355447,1,174,"12-18","Detroit"
"563",5574000,19,20,"12-18","Detroit"
"564",3905837,0,80,"12-18","Detroit"
"565",4400188,9,104,"12-18","Detroit"
"566",7024854,1,94,"12-18","Detroit"
"567",9705006,9,15,"12-18","Detroit"
"568",5131211,7,158,"12-18","Detroit"
"569",3302780,12,1,"12-18","Detroit"
"570",3036743,5,29,"12-18","Detroit"
"571",9422098,10,13,"12-18","Detroit"
"572",2770891,6,75,"12-18","Detroit"
"573",5693637,8,146,"12-18","Detroit"
"574",5066517,7,1,"12-18","Detroit"
"575",3020508,7,116,"12-18","Detroit"
"576",3241079,6,47,"12-18","Detroit"
"577",1283727,1,209,"12-18","Detroit"
"578",1576525,1,1,"12-18","Detroit"
"579",8737717,7,58,"12-18","Detroit"
"580",5024038,8,2,"12-18","Detroit"
"581",9210988,7,7,"12-18","Detroit"
"582",9011148,3,134,"12-18","Detroit"
"583",3984568,1,3,"12-18","Detroit"
"584",8674318,1,64,"12-18","Detroit"
"585",6011634,7,41,"12-18","Detroit"
"586",4613138,7,82,"12-18","Detroit"
"587",6845676,6,19,"12-18","Detroit"
"588",4469666,12,248,"12-18","Detroit"
"589",4811713,15,58,"12-18","Detroit"
"590",4891510,10,73,"12-18","Detroit"
"591",3404794,11,85,"12-18","Detroit"
"592",1053744,9,50,"12-18","Detroit"
"593",3605600,1,7,"12-18","Detroit"
"594",7531416,8,94,"12-18","Detroit"
"595",7872770,1,145,"12-18","Detroit"
"596",3262218,1,119,"12-18","Detroit"
"597",1541219,1,202,"12-18","Detroit"
"598",6165153,1,100,"12-18","Detroit"
"599",4120768,0,1,"12-18","Detroit"
"600",8373740,8,95,"12-18","Detroit"
"601",7599596,1,1,"12-18","Detroit"
"602",6241066,5,1,"12-18","Detroit"
"603",1435926,17,141,"12-18","Detroit"
"604",4985505,9,4,"12-18","Detroit"
"605",4489369,1,125,"12-18","Detroit"
"606",2983965,1,32,"12-18","Detroit"
"607",2697689,1,156,"12-18","Detroit"
"608",2296868,1,19,"12-18","Detroit"
"609",2510470,4,104,"12-18","Detroit"
"610",5630365,1,59,"12-18","Detroit"
"611",9661441,1,243,"12-18","Detroit"
"612",2460949,12,1,"12-18","Detroit"
"613",6769851,7,134,"12-18","Detroit"
"614",2800524,4,1,"12-18","Detroit"
"615",9535477,6,1,"12-18","Detroit"
"616",3665882,0,95,"12-18","Detroit"
"617",5191492,0,16,"12-18","Detroit"
"618",4012756,15,94,"12-18","Detroit"
"619",8920163,7,62,"12-18","Detroit"
"620",5895446,1,177,"12-18","Detroit"
"621",3032269,15,122,"12-18","Detroit"
"622",3277330,7,1,"12-18","Detroit"
"623",2853567,14,117,"12-18","Detroit"
"624",3916817,1,52,"12-18","Detroit"
"625",6774580,1,31,"12-18","Detroit"
"626",6621815,8,132,"12-18","Detroit"
"627",3419144,6,65,"12-18","Detroit"
"628",7256631,7,46,"12-18","Detroit"
"629",7339056,6,57,"12-18","Detroit"
"630",3920461,1,88,"12-18","Detroit"
"631",6504024,1,145,"12-18","Detroit"
"632",9117234,1,31,"12-18","Detroit"
"633",6581998,1,111,"12-18","Detroit"
"634",9929053,0,67,"12-18","Detroit"
"635",5327133,15,38,"12-18","Detroit"
"636",9162287,8,194,"12-18","Detroit"
"637",6763177,1,30,"12-18","Detroit"
"638",3339219,1,135,"12-18","Detroit"
"639",1747349,1,1,"12-18","Detroit"
"640",7769617,2,53,"12-18","Detroit"
"641",9870443,1,98,"12-18","Detroit"
